ID	fixed.acidity	volatile.acidity	citric.acid	residual.sugar	chlorides	free.sulfur.dioxide	total.sulfur.dioxide	density	pH	sulphates	alcohol	Class
T1	0.449	0.278	0.559	0.015	0.985	0.489	0.638	0.769	0.293	0.15	0	0
T2	0.168	0.685	0.441	0.455	0.22	0.34	0.795	0.769	0.493	0.49	0.266	0
T3	0.439	0.222	0.603	0.121	0.333	0.149	0.409	0.673	0.373	0.052	0.156	0
T4	0.131	0.741	0	0.424	0.409	1	0.539	0.406	0.36	0.02	0.156	0
T5	0.168	0.352	0.515	0.015	0.371	0.255	0.236	0.459	0.547	0.085	0.109	0
T6	0.318	0.537	0.559	0	0.432	0.021	0.071	0.516	0.36	0.065	0.141	0
T7	0.28	0.093	0.882	0.227	0.492	0.128	0.102	0.682	0.613	0.17	0.328	0
T8	0.505	0.241	0.882	0.106	0.856	0.064	0.071	0.714	0.147	0.418	0.141	0
T9	0.234	0.481	0.382	0.061	0.174	0.106	0.173	0.51	0.613	0.144	0.172	0
T10	1	0.241	0.956	0.909	0.432	0.383	0.488	0.612	0.067	0.275	1	0
T11	0.159	0.741	0.029	0.061	0.295	0.298	0.165	0.563	0.627	0.216	0.203	0
T12	0.215	0.667	0.324	0.045	0.326	0.83	0.402	0.346	0.227	0	0.109	0
T13	0.196	0.852	0.471	0.106	0.227	0.66	0.748	0.482	0.533	0.059	0.156	0
T14	0.673	0.352	0.721	0.47	0.258	0.319	0.268	0.633	0.12	0.124	0.156	0
T15	0.112	0.63	0.029	0.045	0.212	0	0.016	0.551	0.707	0.17	0.156	0
T16	0.14	0.463	0.118	0.091	0.189	0.298	0.197	0.4	0.533	0.144	0.187	0
T17	0.215	1	0.294	1	0.447	0.553	0.654	0.747	0.36	0.105	0.109	0
T18	0.234	0.796	0.059	0.015	0	0	0	0.469	0.627	0.033	0.141	0
T19	0.159	0.593	0.221	0.106	0.28	0.319	0.244	0.459	0.64	0.111	0.25	0
T20	0.178	0.426	0.206	0.197	0.28	0.234	0.22	0.473	0.573	0.046	0.344	0
T21	0.449	0.111	0.588	0.212	0.447	0.128	0.134	0.918	0.733	0.32	0.187	0
T22	0.262	0.722	0.515	0.197	0.356	0.511	0.339	0.551	0.507	0.131	0.359	0
T23	0.28	0.185	0.574	0.152	0.265	0.532	0.307	0.376	0.52	0.301	0.609	1
T24	0	0.204	0	0.045	0.083	0.489	0.425	0	1	0.242	0.859	1
T25	0.215	0.593	0.353	0.076	0.295	0.128	0.15	0.684	0.693	0.235	0.156	1
T26	0.551	0.352	0.691	0.174	0.348	0.106	0.197	0.588	0.413	0.229	0.562	1
T27	0.15	0.519	0.015	0.091	0.265	0.106	0.126	0.429	0.533	0.092	0.156	1
T28	0.29	0.093	0.706	0.091	0.409	0.043	0.024	0.253	0.44	0.131	0.609	1
T29	0.467	0.111	0.721	0.167	0.152	0.021	0.031	0.612	0.16	0.209	0.312	1
T30	0.355	0.556	0.721	0.061	1	0.043	0.126	0.602	0.453	0.124	0.141	1
T31	0.234	0.37	0.368	0.167	0.258	0.532	0.425	0.464	0.587	0.105	0.312	1
T32	0.794	0.343	1	0.212	0.348	0.277	0.268	1	0.173	0.248	0.234	1
T33	0.206	0.722	0.074	0.061	0.22	0.426	0.26	0.459	0.653	0.098	0.469	1
T34	0.308	0.259	0.471	0.045	0.205	0.468	0.331	0.302	0.6	0.196	0.516	1
T35	0.28	0	0.618	0.061	0.227	0.106	0.063	0.22	0.373	0.078	0.594	1
T36	0.505	0.204	0.721	0.258	0.295	0.34	0.543	0.776	0.347	0.183	0.234	1
T37	0.084	0.648	0.338	0.152	0.038	0.255	0.48	0.196	0.707	0.15	0.625	1
T38	0.486	0.333	0.809	0.258	0.28	0.383	0.354	0.816	0.293	0.307	0.219	1
T39	0.458	0.407	0.338	0.061	0.326	0.128	0.071	0.627	0.387	0.15	0.125	1
T40	0.168	0.852	0.103	0.152	0.394	0.234	0.094	0.42	0.6	0.118	0.438	1
T41	0.346	0.37	0.662	0.061	0.098	0.043	0.055	0.327	0.56	0.183	0.625	1
T42	0.252	0.583	0.088	0.379	0.364	0.489	0.409	0.5	0.573	0.163	0.344	1
T43	0.318	0.481	0.412	0.061	0.538	0.34	1	0.571	0	1	0.219	1
T44	0.505	0.148	0.721	0.106	0.182	0.298	0.244	0.612	0.28	0.059	0.203	1
