ID	fixed.acidity	volatile.acidity	citric.acid	residual.sugar	chlorides	free.sulfur.dioxide	total.sulfur.dioxide	density	pH	sulphates	alcohol	class
T1	10	0.38	0.38	1.6	0.169	27	90	0.99914	3.15	0.65	8.5	0
T2	7	0.6	0.3	4.5	0.068	20	110	0.99914	3.3	1.17	10.2	0
T3	9.9	0.35	0.41	2.3	0.083	11	61	0.9982	3.21	0.5	9.5	0
T4	6.6	0.63	0	4.3	0.093	51	77.5	0.99558	3.2	0.45	9.5	0
T5	7	0.42	0.35	1.6	0.088	16	39	0.9961	3.34	0.55	9.2	0
T6	8.6	0.52	0.38	1.5	0.096	5	18	0.99666	3.2	0.52	9.4	0
T7	8.2	0.28	0.6	3	0.104	10	22	0.99828	3.39	0.68	10.6	0
T8	10.6	0.36	0.6	2.2	0.152	7	18	0.9986	3.04	1.06	9.4	0
T9	7.7	0.49	0.26	1.9	0.062	9	31	0.9966	3.39	0.64	9.6	0
T10	15.9	0.36	0.65	7.5	0.096	22	71	0.9976	2.98	0.84	14.9	0
T11	6.9	0.63	0.02	1.9	0.078	18	30	0.99712	3.4	0.75	9.8	0
T12	7.5	0.59	0.22	1.8	0.082	43	60	0.99499	3.1	0.42	9.2	0
T13	7.3	0.69	0.32	2.2	0.069	35	104	0.99632	3.33	0.51	9.5	0
T14	12.4	0.42	0.49	4.6	0.073	19	43	0.9978	3.02	0.61	9.5	0
T15	6.4	0.57	0.02	1.8	0.067	4	11	0.997	3.46	0.68	9.5	0
T16	6.7	0.48	0.08	2.1	0.064	18	34	0.99552	3.33	0.64	9.7	0
T17	7.5	0.77	0.2	8.1	0.098	30	92	0.99892	3.2	0.58	9.2	0
T18	7.7	0.66	0.04	1.6	0.039	4	9	0.9962	3.4	0.47	9.4	0
T19	6.9	0.55	0.15	2.2	0.076	19	40	0.9961	3.41	0.59	10.1	0
T20	7.1	0.46	0.14	2.8	0.076	15	37	0.99624	3.36	0.49	10.7	0
T21	10	0.29	0.4	2.9	0.098	10	26	1.0006	3.48	0.91	9.7	0
T22	8	0.62	0.35	2.8	0.086	28	52	0.997	3.31	0.62	10.8	0
T23	8.2	0.33	0.39	2.5	0.074	29	48	0.99528	3.32	0.88	12.4	1
T24	5.2	0.34	0	1.8	0.05	27	63	0.9916	3.68	0.79	14	1
T25	7.5	0.55	0.24	2	0.078	10	28	0.9983	3.45	0.78	9.5	1
T26	11.1	0.42	0.47	2.65	0.085	9	34	0.99736	3.24	0.77	12.1	1
T27	6.8	0.51	0.01	2.1	0.074	9	25	0.9958	3.33	0.56	9.5	1
T28	8.3	0.28	0.48	2.1	0.093	6	12	0.99408	3.26	0.62	12.4	1
T29	10.2	0.29	0.49	2.6	0.059	5	13	0.9976	3.05	0.74	10.5	1
T30	9	0.53	0.49	1.9	0.171	6	25	0.9975	3.27	0.61	9.4	1
T31	7.7	0.43	0.25	2.6	0.073	29	63	0.99615	3.37	0.58	10.5	1
T32	13.7	0.415	0.68	2.9	0.085	17	43	1.0014	3.06	0.8	10	1
T33	7.4	0.62	0.05	1.9	0.068	24	42	0.9961	3.42	0.57	11.5	1
T34	8.5	0.37	0.32	1.8	0.066	26	51	0.99456	3.38	0.72	11.8	1
T35	8.2	0.23	0.42	1.9	0.069	9	17	0.99376	3.21	0.54	12.3	1
T36	10.6	0.34	0.49	3.2	0.078	20	78	0.9992	3.19	0.7	10	1
T37	6.1	0.58	0.23	2.5	0.044	16	70	0.99352	3.46	0.65	12.5	1
T38	10.4	0.41	0.55	3.2	0.076	22	54	0.9996	3.15	0.89	9.9	1
T39	10.1	0.45	0.23	1.9	0.082	10	18	0.99774	3.22	0.65	9.3	1
T40	7	0.69	0.07	2.5	0.091	15	21	0.99572	3.38	0.6	11.3	1
T41	8.9	0.43	0.45	1.9	0.052	6	16	0.9948	3.35	0.7	12.5	1
T42	7.9	0.545	0.06	4	0.087	27	61	0.9965	3.36	0.67	10.7	1
T43	8.6	0.49	0.28	1.9	0.11	20	136	0.9972	2.93	1.95	9.9	1
T44	10.6	0.31	0.49	2.2	0.063	18	40	0.9976	3.14	0.51	9.8	1
