ID	total.sulfur.dioxide	citric.acid	Class
T1	0.638	0.559	0
T2	0.795	0.441	0
T3	0.409	0.603	0
T4	0.539	0	0
T5	0.236	0.515	0
T6	0.071	0.559	0
T7	0.102	0.882	0
T8	0.071	0.882	0
T9	0.173	0.382	0
T10	0.488	0.956	0
T11	0.165	0.029	0
T12	0.402	0.324	0
T13	0.748	0.471	0
T14	0.268	0.721	0
T15	0.016	0.029	0
T16	0.197	0.118	0
T17	0.654	0.294	0
T18	0	0.059	0
T19	0.244	0.221	0
T20	0.22	0.206	0
T21	0.134	0.588	0
T22	0.339	0.515	0
T23	0.307	0.574	1
T24	0.425	0	1
T25	0.15	0.353	1
T26	0.197	0.691	1
T27	0.126	0.015	1
T28	0.024	0.706	1
T29	0.031	0.721	1
T30	0.126	0.721	1
T31	0.425	0.368	1
T32	0.268	1	1
T33	0.26	0.074	1
T34	0.331	0.471	1
T35	0.063	0.618	1
T36	0.543	0.721	1
T37	0.48	0.338	1
T38	0.354	0.809	1
T39	0.071	0.338	1
T40	0.094	0.103	1
T41	0.055	0.662	1
T42	0.409	0.088	1
T43	1	0.412	1
T44	0.244	0.721	1
