ID	total.sulfur.dioxide	citric.acid	class
T1	90	0.38	0
T2	110	0.3	0
T3	61	0.41	0
T4	77.5	0	0
T5	39	0.35	0
T6	18	0.38	0
T7	22	0.6	0
T8	18	0.6	0
T9	31	0.26	0
T10	71	0.65	0
T11	30	0.02	0
T12	60	0.22	0
T13	104	0.32	0
T14	43	0.49	0
T15	11	0.02	0
T16	34	0.08	0
T17	92	0.2	0
T18	9	0.04	0
T19	40	0.15	0
T20	37	0.14	0
T21	26	0.4	0
T22	52	0.35	0
T23	48	0.39	1
T24	63	0	1
T25	28	0.24	1
T26	34	0.47	1
T27	25	0.01	1
T28	12	0.48	1
T29	13	0.49	1
T30	25	0.49	1
T31	63	0.25	1
T32	43	0.68	1
T33	42	0.05	1
T34	51	0.32	1
T35	17	0.42	1
T36	78	0.49	1
T37	70	0.23	1
T38	54	0.55	1
T39	18	0.23	1
T40	21	0.07	1
T41	16	0.45	1
T42	61	0.06	1
T43	136	0.28	1
T44	40	0.49	1
